Taxa,coeff,p,padj,Treatment,Mean_Ctrl,Mean_BMc,Sd_Ctrl,Sd_BMc,Taxonomic_Level,N-Fertilization-Intensity
Dichotomopilus;OTU8,-57139.22,8.677787632934515e-4,0.0039773194968209845,Int,0.014409890617708481,1.8943268698900533e-4,0.017345190148935045,3.7886537397801065e-4,OTU,Int
Sporormiaceae_gen_Incertae_sedis;OTU197,258.05,8.677787590663236e-4,0.0039773194968209845,Int,0.049179189429566394,0.7647693106229111,0.02857472234731124,0.7409905771516533,OTU,Int
Gymnoascus;OTU198,-1087.33,8.677787588097093e-4,0.0039773194968209845,Int,0.15398696243481713,0.053589606906070245,0.05229884808841612,0.01635073204991728,OTU,Int
Leucothecium;OTU205,-635.72,8.677787590650933e-4,0.0039773194968209845,Int,0.41508887934402927,0.09626674882463088,0.2439836012488647,0.03645034622310719,OTU,Int
Aaosphaeria;OTU207,992.09,8.677787588327395e-4,0.0039773194968209845,Int,0.018294741174390818,0.09535973323137921,0.013678436923796524,0.010627013432035103,OTU,Int
Rozellomycota_gen_Incertae_sedis;OTU208,3679.82,0.013623172477851974,0.04541057498782116,Int,0,0.007952198067418476,0,0.006854190746076549,OTU,Int
Gibellulopsis;OTU245,1804.39,8.677787598979619e-4,0.0039773194968209845,Int,0.1092124299966935,0.35696436404452203,0.051105083803168895,0.16037798847225856,OTU,Int
Aspergillus;OTU252,-268.8,0.01456488964525036,0.04772242570768432,Int,0.021408497575029113,0.0040028311546274915,0.011707204967923482,0.0034503775928243744,OTU,Int
Plenodomus;OTU263,6456.87,0.013623172467408635,0.04541057498782116,Int,0,0.00437609889919101,0,0.0037509622991524333,OTU,Int
Monographella;OTU276,253830.05,8.677787649390809e-4,0.0039773194968209845,Int,1.8152773743828056e-4,0.004706284249676204,3.6305547487656113e-4,0.0036864478058230704,OTU,Int
Ascomycota_gen_Incertae_sedis;OTU291,18.79,0.006089633286401477,0.025567162652830627,Int,0.14423639143108263,0.5980968379836449,0.096766970087588,0.25155362282922594,OTU,Int
Periconia;OTU292,3598.28,8.677787593687058e-4,0.0039773194968209845,Int,0.013245367402919568,0.10976137965660639,0.013640866911208995,0.04916499277718271,OTU,Int
Onygenales_gen_Incertae_sedis;OTU297,-6169.7,0.013623172370169268,0.04541057498782116,Int,0.003223765224597816,0,0.002453238949309517,0,OTU,Int
Fusidium;OTU307,8023.28,0.013623172479324704,0.04541057498782116,Int,0,0.0038631101830327043,0,0.0032238140430362193,OTU,Int
Lobulomycetales_gen_Incertae_sedis;OTU310,3885.85,0.005499860526647087,0.02375897131708878,Int,2.483608185972581e-4,0.0052781572151019834,4.967216371945162e-4,0.0035901861702757765,OTU,Int
Thelebolaceae_gen_Incertae_sedis;OTU327,-2878.52,8.677787599295702e-4,0.0039773194968209845,Int,0.22372925356988826,0.0770157996526215,0.1208787641563908,0.019057843636398893,OTU,Int
Pseudocoleophoma;OTU341,-9865.13,0.013623172461513984,0.04541057498782116,Int,0.005577933749738235,0,0.0056423131693501246,0,OTU,Int
Cephalotrichiella;OTU342,-423.4,0.007663622295032367,0.03169167114487069,Int,0.021478129816546565,0.0037778572073078015,0.010648759150224096,0.0043989414911722695,OTU,Int
Articulospora;OTU349,4044.05,0.00800960899216024,0.03287526078871741,Int,4.548512250529742e-4,0.004294163243850294,5.296488141627388e-4,0.0031090683378449183,OTU,Int
Trichoderma;OTU354,56.48,8.677787588385299e-4,0.0039773194968209845,Int,0.453743361140442,2.796261974536462,0.2595727032595125,1.1018903601377146,OTU,Int
Sordariales_gen_Incertae_sedis;OTU365,-2513.81,8.677787588192909e-4,0.0039773194968209845,Int,0.04917563059681458,2.0265067077372028e-4,0.02132814250448855,4.0530134154744056e-4,OTU,Int
Claroideoglomus;OTU370,-6690.49,0.013623172496346347,0.04541057498782116,Int,0.004736031150946805,0,0.004067067020587243,0,OTU,Int
Schizothecium;OTU382,2075.99,8.677787589363433e-4,0.0039773194968209845,Int,0.025256473842765113,0.10079995374802647,0.011857624391579051,0.060818918310111374,OTU,Int
Sordariales_gen_Incertae_sedis;OTU390,-1235.81,8.677787589636106e-4,0.0039773194968209845,Int,0.11364711103653988,0.028264526130398666,0.03432476177551081,0.013271781524095961,OTU,Int
