"RH_CT_Int_Ctrl1" "RH_CT_Int_Ctrl2" "RH_CT_Int_Ctrl3" "RH_CT_Int_Ctrl4" "RH_CT_Int_BM1" "RH_CT_Int_BM2" "RH_CT_Int_BM3" "RH_CT_Int_BM4" "RH_CT_Ext_Ctrl1" "RH_CT_Ext_Ctrl2" "RH_CT_Ext_Ctrl3" "RH_CT_Ext_Ctrl4" "RH_CT_Ext_BM1" "RH_CT_Ext_BM2" "RH_CT_Ext_BM3" "RH_CT_Ext_BM4"
"SH0932604.09FU" 6 0 4 0 0 0 0 0 0 0 17 4 8 0 0 0
"SH0932626.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 7
"SH0932875.09FU" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 9
"SH0933169.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0
"SH0933229.09FU" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"SH0933250.09FU" 0 0 1 2 2 0 14 17 12 1 1 5 1 6 31 119
"SH0933382.09FU" 38 29 117 27 37 37 59 108 279 253 463 114 38 84 271 297
"SH0933398.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
"SH0933531.09FU" 0 0 8 0 0 0 0 0 0 0 0 0 0 0 1 0
"SH0934296.09FU" 0 0 26 11 20 1 16 19 6 3 9 41 3 1 5 6
"SH0935352.09FU" 6 0 0 7 0 10 0 0 0 2 0 0 0 0 0 0
"SH0935923.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
"SH0936422.09FU" 2 8 3 7 1 5 26 33 5 16 18 25 0 0 6 15
"SH0936426.09FU" 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0
"SH0936428.09FU" 5 6 6 5 0 18 20 10 13 14 19 8 8 2 5 0
"SH0936448.09FU" 15 9 0 57 0 1 1 0 30 10 1 17 1 0 0 12
"SH0936459.09FU" 2 10 0 0 0 0 6 0 0 9 0 0 0 0 0 0
"SH0936463.09FU" 43 61 101 174 37 77 119 178 198 177 181 311 24 72 40 119
"SH0936602.09FU" 0 0 0 0 0 0 0 0 6 1 0 0 0 0 0 0
"SH0936725.09FU" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
