kingdom	phylum	class	order	family	genus	species
SH0896090.09FU	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliales_fam_Incertae_sedis	Orbiliales_gen_Incertae_sedis	s__Orbiliales_sp
SH0896885.09FU	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Jackrogersella	s__Jackrogersella_multiformis
SH0896910.09FU	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Annulohypoxylon	s__Annulohypoxylon_sp
SH0896937.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Ophiocordycipitaceae_gen_Incertae_sedis	s__Ophiocordycipitaceae_sp
SH0898067.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pseudopyrenochaetaceae	Pseudopyrenochaeta	s__Pseudopyrenochaeta_terrestris
SH0898088.09FU	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaeta	s__Pyrenochaeta_sp
SH0898373.09FU	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Iodophanus	s__Iodophanus_sp
SH0898657.09FU	Fungi	Ascomycota	Sordariomycetes	Microascales	Halosphaeriaceae	Halosphaeriaceae_gen_Incertae_sedis	s__Halosphaeriaceae_sp
SH0898782.09FU	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizales_fam_Incertae_sedis	Pezizales_gen_Incertae_sedis	s__Pezizales_sp
SH0898958.09FU	Fungi	Chytridiomycota	Lobulomycetes	Lobulomycetales	Lobulomycetales_fam_Incertae_sedis	Lobulomycetales_gen_Incertae_sedis	s__Lobulomycetales_sp
SH0899079.09FU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Nidulariaceae	Cyathus	s__Cyathus_olla
SH0899410.09FU	Fungi	Ascomycota	Ascomycota_cls_Incertae_sedis	Ascomycota_ord_Incertae_sedis	Ascomycota_fam_Incertae_sedis	Ascomycota_gen_Incertae_sedis	s__Ascomycota_sp
SH0900727.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectriaceae_gen_Incertae_sedis	s__Nectriaceae_sp
SH0901290.09FU	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	s__Metarhizium_anisopliae
SH0902174.09FU	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scopulariopsis	s__Scopulariopsis_acremonium
SH0902179.09FU	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Acaulium	s__Acaulium_retardatum
